hour,oaid,os,item_names,brand,sw,sh
8,170,9,5,57,95,152
11,170,15,38,57,12,138
11,116,15,75,62,95,31
4,170,10,102,18,41,3
2,127,15,67,62,95,126
20,170,9,110,57,58,138
11,265,11,107,27,95,38
20,174,15,102,55,95,71
8,107,0,42,27,95,0
11,170,10,23,18,22,142
18,176,9,90,27,95,11
4,170,15,67,57,121,122
18,214,15,26,43,106,114
20,170,8,89,41,84,121
16,59,15,38,62,28,138
4,170,10,102,18,22,142
16,170,10,78,18,41,3
8,171,7,102,27,95,190
4,163,7,14,62,3,138
2,170,0,105,57,95,142
2,170,10,51,18,22,142
8,200,7,23,55,95,137
11,170,10,13,18,122,29
11,203,0,102,27,95,111
8,269,11,115,62,95,126
2,170,0,42,57,95,68
8,170,10,99,18,32,93
16,170,9,64,57,49,138
20,229,7,28,42,8,199
18,170,10,74,18,108,34
2,170,10,42,18,41,3
11,150,12,5,27,95,14
11,170,9,59,57,34,134
2,2,9,41,27,95,145
8,93,15,79,62,88,138
11,170,7,42,36,95,111
18,170,15,79,57,33,50
11,170,15,61,57,64,135
4,170,9,50,36,93,138
8,170,10,67,18,41,3
8,170,10,6,18,41,3
16,222,7,25,62,48,153
4,170,10,32,18,122,29
20,160,9,96,55,6,72
17,170,0,23,57,5,140
17,170,10,89,18,22,142
7,170,10,28,18,22,142
17,18,5,55,55,11,192
7,170,10,78,18,41,3
17,125,10,102,62,48,184
7,238,15,75,62,95,162
7,261,15,102,62,95,9
17,170,10,65,18,78,153
17,271,11,105,62,95,85
18,170,9,4,57,84,121
18,170,10,109,18,41,3
17,134,15,29,55,95,9
23,170,10,23,18,100,32
23,170,10,60,18,22,142
7,170,10,101,27,97,72
3,170,9,42,36,110,138
7,273,11,105,62,95,108
17,170,9,49,36,95,147
17,170,15,23,36,105,175
17,170,10,107,18,41,3
23,263,15,38,55,95,172
17,170,10,84,18,116,139
3,170,10,107,18,108,34
7,119,7,20,27,95,56
7,96,11,42,62,120,138
17,170,10,34,18,1,64
23,170,10,63,18,32,93
23,170,10,102,18,96,167
3,103,15,67,42,95,69
3,257,15,102,39,95,104
23,170,15,102,57,72,138
3,245,15,102,62,48,33
23,170,9,39,57,121,122
23,225,7,48,62,95,152
3,55,11,102,55,95,4
23,170,10,99,18,1,64
7,170,14,77,41,84,121
17,170,10,27,18,116,139
17,62,10,48,62,48,184
23,170,15,102,36,15,138
7,249,15,116,27,51,138
7,181,7,42,43,94,42
23,64,7,95,27,95,100
17,170,10,102,57,95,24
23,170,10,102,18,22,142
18,111,15,3,62,95,9
18,166,0,92,42,10,138
7,170,10,102,42,84,121
18,170,10,75,18,24,189
3,80,15,102,46,59,138
17,170,10,5,18,41,3
17,170,10,42,18,78,153
3,170,15,38,57,83,138
18,170,0,119,36,95,146
7,156,9,117,55,48,110
7,170,10,107,18,41,3
3,170,10,102,18,116,139
7,170,10,34,18,134,63
23,170,9,117,57,49,138
3,121,7,100,62,69,138
7,170,15,23,57,5,178
23,170,10,12,18,41,3
23,170,10,102,18,100,32
3,99,15,115,43,95,124
17,170,0,5,57,34,154
18,170,10,102,18,122,29
23,170,9,101,36,95,15
23,170,9,119,36,95,71
7,170,15,107,36,95,127
17,170,10,102,18,23,152
17,146,7,24,42,8,28
7,170,10,58,18,116,139
23,170,9,23,36,72,138
3,33,9,17,27,95,100
23,81,7,107,62,95,30
3,170,15,105,57,95,46
23,170,9,85,57,34,49
17,231,0,92,62,95,148
7,170,15,57,57,74,160
18,168,7,102,62,48,77
23,170,15,103,36,28,73
3,274,7,21,39,95,161
23,108,10,76,62,48,79
7,145,15,5,23,125,114
23,26,15,102,42,95,143
3,170,9,42,36,95,67
23,142,5,102,62,11,138
3,170,10,38,18,1,64
9,170,9,69,57,95,46
14,170,10,102,18,116,139
15,70,9,106,43,118,72
9,270,7,23,27,61,72
14,170,10,39,18,122,29
10,170,10,38,18,131,36
21,102,11,96,55,13,138
6,170,10,23,18,96,167
15,170,9,87,57,95,106
13,170,10,78,18,22,142
12,170,10,94,18,1,64
14,110,15,4,27,95,99
9,51,10,41,10,84,121
12,170,0,42,36,95,5
12,95,11,107,44,127,7
13,170,10,105,18,41,3
21,218,7,42,62,95,41
9,170,9,102,57,95,74
14,40,7,23,62,11,159
9,13,0,18,27,48,97
14,240,7,63,62,48,95
9,170,10,107,18,78,153
22,170,10,102,27,0,138
10,66,9,103,27,79,138
13,170,10,25,18,46,58
14,141,11,82,27,95,188
14,170,10,105,18,41,3
19,117,15,81,43,89,138
13,161,11,5,39,95,96
10,63,15,18,62,95,16
13,79,9,23,62,95,87
14,106,15,49,62,95,175
1,74,9,96,27,95,105
9,170,10,70,18,41,3
12,267,0,116,62,48,6
13,170,10,20,18,78,153
1,30,9,78,62,95,115
1,170,15,102,57,95,44
12,170,9,103,36,34,45
1,170,0,102,36,34,5
21,170,9,96,57,95,158
13,170,15,42,57,29,94
13,170,15,67,57,114,136
15,170,10,107,18,78,153
13,170,9,115,36,48,13
6,170,10,102,18,46,58
14,170,10,76,18,46,58
13,196,15,114,62,95,31
9,170,10,73,18,78,153
13,170,10,67,18,92,186
10,184,9,74,62,95,70
9,170,10,38,18,1,64
9,170,10,38,18,1,64
1,170,15,118,36,39,138
13,201,15,4,43,79,138
19,170,10,96,18,41,3
9,170,10,54,18,78,153
13,75,9,102,27,95,14
14,170,10,119,18,22,142
12,170,10,102,18,100,32
14,170,10,76,18,123,57
14,83,0,110,42,95,35
5,247,7,75,62,99,138
14,170,10,103,18,41,3
14,170,15,38,57,82,141
13,213,9,14,62,95,70
14,194,11,33,27,95,66
0,25,7,102,27,95,14
14,11,11,34,42,95,132
13,170,10,103,18,27,8
10,209,9,55,27,95,100
12,170,10,102,18,123,57
12,180,11,42,27,95,65
14,170,10,23,18,133,112
15,162,10,48,62,48,184
15,170,10,82,18,122,29
15,4,9,41,27,93,138
10,170,10,82,18,116,139
10,170,15,38,36,46,138
5,268,7,102,62,109,113
1,170,9,79,57,95,82
1,170,0,23,42,101,138
10,170,9,102,36,95,15
14,0,11,96,42,52,183
14,170,10,38,18,63,47
9,235,10,66,62,48,79
15,170,10,107,18,96,167
12,211,15,104,55,95,170
12,170,10,5,18,78,153
6,170,9,102,57,114,136
15,170,10,44,18,122,29
19,132,15,41,55,7,138
10,170,9,74,57,55,138
9,118,15,16,62,95,172
12,124,9,74,62,48,6
9,170,9,23,57,34,49
6,170,11,66,36,80,182
8,170,10,78,18,22,142
0,170,15,78,57,124,197
11,197,7,99,43,95,171
2,170,15,2,57,37,191
16,170,9,93,36,48,128
0,170,15,34,36,34,123
11,27,11,96,27,26,138
2,170,10,59,37,107,162
4,170,10,102,18,23,26
20,170,10,66,18,116,139
11,82,7,102,27,95,100
16,199,7,107,62,95,156
16,170,7,61,36,55,138
11,170,9,23,57,95,116
4,112,15,32,43,36,138
8,36,7,102,62,95,69
11,130,15,89,62,48,129
0,126,9,34,62,95,157
11,164,15,45,62,95,30
2,170,10,12,18,122,29
16,170,15,23,36,95,106
20,195,15,102,55,112,72
8,170,9,21,57,95,44
2,170,10,51,18,96,167
11,98,7,102,27,103,138
2,170,10,10,18,41,3
8,170,10,42,18,1,64
4,170,10,31,18,1,64
11,170,10,102,18,108,34
2,170,10,102,18,22,142
2,170,14,38,41,35,72
2,73,9,23,62,115,138
4,170,8,38,41,52,151
16,170,10,38,18,132,57
11,170,9,34,57,34,49
8,143,7,79,27,95,100
20,169,15,92,43,95,163
11,37,11,96,39,95,37
20,248,15,102,27,95,165
16,137,9,117,27,79,138
4,173,7,76,62,7,138
11,170,9,30,57,121,122
11,227,5,102,62,19,138
20,170,9,23,57,128,138
11,170,10,69,18,78,153
8,239,9,96,62,28,138
2,170,15,107,57,121,122
20,170,14,23,41,109,125
8,170,8,42,41,84,121
20,170,10,107,18,23,152
20,157,9,71,62,95,145
20,170,10,49,18,1,64
4,170,10,65,18,18,179
2,170,10,42,18,96,167
16,170,10,107,18,22,142
8,170,15,12,57,95,120
2,170,10,117,18,129,131
2,61,15,102,43,95,18
11,170,10,92,18,1,64
11,170,10,87,18,22,142
8,170,10,84,18,92,186
16,85,7,93,55,95,30
8,170,10,70,62,95,70
11,170,9,96,36,98,61
16,28,10,116,62,48,79
11,228,7,12,42,95,198
8,43,15,66,62,95,9
16,170,9,77,57,95,40
11,244,10,67,62,48,6
2,170,0,102,62,2,138
0,170,10,34,18,22,142
2,138,15,42,62,95,69
11,170,7,63,36,48,102
16,46,5,11,62,12,138
20,170,2,55,41,84,121
8,122,15,8,42,52,98
8,170,10,59,18,41,3
2,170,10,38,18,1,64
8,170,10,67,18,122,29
4,170,10,70,18,129,131
11,170,9,67,36,95,15
11,170,10,76,18,24,189
2,52,9,114,62,95,166
2,243,15,23,42,52,90
11,170,9,67,57,95,71
11,17,9,70,62,95,168
8,170,10,34,18,22,142
0,170,10,96,18,129,131
8,170,9,32,36,48,102
11,170,10,114,18,27,8
11,170,10,23,18,41,3
20,170,10,99,18,116,139
20,170,10,102,18,23,152
4,170,10,102,18,41,3
11,170,9,113,57,114,136
8,170,10,102,57,81,72
11,44,7,48,43,95,25
11,170,10,114,27,35,72
16,170,10,107,18,41,3
8,170,9,23,6,95,187
20,193,7,102,42,95,48
11,1,7,54,43,57,42
4,170,9,102,36,95,101
16,170,7,7,57,64,43
11,153,15,18,55,48,12
2,170,0,114,57,43,138
20,69,9,107,42,95,107
18,170,14,102,41,84,121
2,65,7,34,62,95,9
8,50,7,75,62,95,115
3,170,10,104,14,113,27
7,6,15,96,62,48,33
7,170,15,33,36,95,4
18,58,9,34,42,31,42
17,170,7,75,36,8,162
17,170,10,93,18,116,139
17,114,7,78,43,14,138
23,16,15,5,62,87,72
7,170,10,102,18,41,3
7,170,10,42,18,23,26
17,170,10,23,18,41,3
3,159,9,2,27,71,138
17,31,15,26,43,95,62
3,170,7,102,22,95,101
18,48,15,103,62,11,138
17,170,9,23,57,8,162
3,170,10,84,3,37,72
7,170,10,32,41,84,121
17,8,11,84,27,95,92
23,188,15,107,43,27,138
3,147,7,47,62,52,185
7,170,15,114,57,8,162
17,170,10,16,18,78,153
23,266,7,5,62,7,159
3,170,10,84,18,18,179
17,170,10,23,18,41,3
3,68,15,23,62,95,30
17,170,10,102,18,41,3
3,170,15,15,36,55,138
17,170,10,50,18,27,8
3,170,10,23,18,23,26
23,170,10,102,18,27,8
23,170,10,102,18,116,139
3,221,9,92,55,7,138
3,148,7,23,62,95,115
18,189,7,23,42,95,109
23,170,10,18,18,41,3
3,170,15,103,57,20,118
23,170,10,71,18,123,57
7,187,15,81,42,95,75
23,170,10,107,18,41,3
3,49,0,22,62,5,138
7,170,9,12,36,95,133
3,170,14,19,41,84,121
3,170,10,117,18,46,58
17,170,0,107,57,95,74
23,246,10,102,62,48,128
17,170,10,18,18,27,8
3,216,9,5,62,95,87
23,215,9,98,62,6,72
17,170,10,54,18,32,93
7,170,10,103,18,78,153
17,170,10,103,18,129,131
18,170,10,116,18,63,47
17,170,10,2,18,46,58
3,71,9,42,27,95,80
3,170,10,63,18,22,142
7,152,0,105,62,104,138
23,170,10,5,18,27,8
17,170,10,107,18,41,3
3,91,15,111,62,95,172
18,170,15,102,36,91,72
3,170,10,49,18,41,3
23,170,10,50,18,92,186
3,170,10,96,18,16,34
17,170,11,38,36,77,138
17,170,9,5,57,135,142
23,170,10,30,18,1,64
17,7,15,117,43,95,18
7,170,10,102,18,41,3
17,183,7,102,62,48,77
7,170,15,102,57,8,162
23,172,15,56,42,114,52
23,170,9,102,36,95,133
17,259,11,30,62,95,172
7,23,5,118,62,95,84
18,170,15,91,57,80,23
3,256,15,104,62,126,138
3,170,10,66,18,100,32
17,165,15,102,62,95,172
3,170,10,5,18,22,142
7,177,9,22,27,48,89
7,170,10,57,18,100,32
23,170,9,30,36,48,102
3,167,11,102,62,95,172
17,170,10,88,18,41,3
23,5,7,107,62,48,12
18,206,7,23,55,109,72
17,253,15,102,62,95,30
17,170,14,12,41,84,121
17,170,10,118,18,132,57
17,24,15,23,43,73,42
9,45,7,42,43,47,42
23,170,10,42,18,16,34
13,212,5,42,62,95,175
13,258,9,49,27,95,80
9,47,15,38,43,57,42
13,178,7,58,42,84,121
13,170,0,67,36,95,5
13,170,9,65,57,95,44
13,170,9,38,57,136,138
9,170,15,96,57,114,10
13,170,9,34,36,95,81
9,170,9,30,57,95,150
14,86,9,5,62,95,70
13,170,10,21,36,95,76
14,170,10,76,18,41,3
13,104,11,103,39,95,20
23,53,7,76,62,95,115
9,170,9,41,36,95,106
13,170,9,102,36,54,72
14,192,9,102,62,48,6
9,170,9,103,57,5,50
14,20,11,45,62,95,78
13,170,10,87,18,123,57
13,170,9,102,57,95,181
14,170,10,116,57,17,27
14,170,10,34,18,123,57
14,241,15,75,62,7,138
14,170,9,102,36,95,15
13,29,7,117,27,95,66
9,226,9,99,27,83,138
13,113,9,82,43,95,193
14,170,10,105,18,1,64
14,170,10,96,18,22,142
9,170,10,102,18,122,29
13,207,10,17,62,48,53
9,149,7,16,27,84,121
13,191,9,38,62,76,72
13,144,9,34,43,95,25
13,170,10,102,18,133,112
14,170,10,50,18,78,153
14,242,7,102,27,66,138
13,72,10,89,62,53,72
14,170,0,62,57,5,138
9,170,10,23,18,96,167
14,57,15,6,62,95,103
23,170,10,5,18,122,29
13,67,9,18,42,95,143
13,208,9,117,43,95,22
13,230,15,5,62,95,16
14,170,10,81,18,22,142
9,34,15,18,39,95,60
9,170,10,25,18,78,153
13,264,11,4,39,38,138
14,170,10,105,18,27,8
9,170,10,78,18,22,142
13,14,9,69,62,117,138
1,170,15,107,57,121,39
1,170,9,44,57,95,106
20,170,15,39,57,29,94
14,170,9,68,57,128,138
8,170,10,102,20,84,121
8,170,10,41,20,84,121
11,170,15,30,57,55,138
11,170,15,30,57,55,138
7,170,10,38,5,84,121
23,170,10,42,5,84,121
3,170,1,76,54,84,121
18,170,1,23,54,84,121
7,170,10,109,34,84,121
23,170,10,23,34,84,121
3,170,10,102,24,84,121
7,170,10,34,24,84,121
20,170,10,102,5,84,121
20,170,10,101,5,84,121
16,170,10,23,18,27,8
2,170,10,102,18,27,8
13,170,10,38,39,48,53
13,170,10,38,39,48,53
9,170,1,84,40,84,121
7,170,1,102,40,84,121
8,170,15,102,57,114,136
11,170,15,89,57,114,136
18,220,15,34,42,95,176
3,220,15,119,42,95,176
2,170,10,105,42,84,121
16,170,10,117,42,84,121
11,170,10,92,53,84,121
0,170,10,112,53,84,121
14,170,15,38,57,82,141
13,170,15,38,57,82,141
4,170,10,5,29,84,121
22,170,10,107,29,84,121
5,170,3,51,25,84,121
6,170,3,102,25,84,121
17,170,10,60,42,84,121
17,170,10,108,42,84,121
3,170,10,107,19,84,121
18,170,10,67,19,84,121
16,170,10,117,34,84,121
16,170,10,34,34,84,121
22,170,10,48,61,84,121
5,170,10,34,61,84,121
1,170,10,93,50,84,121
8,170,10,51,50,84,121
11,170,10,7,53,84,121
11,170,10,102,53,84,121
3,170,10,102,29,84,121
3,170,10,23,29,84,121
20,170,10,23,56,84,121
17,170,10,104,56,84,121
13,170,10,37,26,84,121
14,170,10,88,26,84,121
16,170,10,42,42,84,121
17,170,10,102,42,84,121
0,170,10,12,29,84,121
7,170,10,7,29,84,121
3,170,10,12,1,84,121
1,170,10,102,1,84,121
17,170,10,85,53,84,121
23,170,10,71,53,84,121
21,170,1,34,5,84,121
6,170,1,115,5,84,121
7,170,1,28,34,84,121
7,170,1,23,34,84,121
21,9,15,102,39,52,55
12,9,15,5,39,52,55
11,170,15,50,36,4,138
3,170,15,50,36,4,138
13,170,10,23,20,84,121
13,170,10,102,20,84,121
15,22,11,80,62,120,138
1,22,11,80,62,120,138
7,170,10,102,5,84,121
17,170,10,92,5,84,121
0,170,10,5,42,84,121
0,170,10,101,42,84,121
15,170,10,102,18,108,34
18,170,10,84,18,108,34
18,170,1,70,42,84,121
18,170,1,30,42,84,121
0,170,1,107,19,84,121
0,170,1,45,19,84,121
15,170,1,72,42,84,121
15,170,1,79,42,84,121
22,170,10,55,34,84,121
22,170,10,104,34,84,121
17,170,15,31,36,55,138
23,170,15,7,36,55,138
14,170,10,51,5,84,121
13,170,10,23,5,84,121
4,170,1,59,38,84,121
17,170,1,1,38,84,121
13,170,10,103,0,84,121
13,170,10,59,0,84,121
18,170,3,107,5,84,121
3,170,3,61,5,84,121
19,170,10,32,18,122,29
6,170,10,67,18,122,29
1,170,10,92,48,84,121
1,170,10,34,48,84,121
17,170,10,102,17,84,121
11,170,10,102,17,84,121
20,170,10,34,18,78,153
14,170,10,87,18,78,153
2,170,10,42,24,84,121
11,170,10,17,24,84,121
23,170,9,102,57,95,181
14,170,9,22,57,95,181
23,170,10,102,29,84,121
23,170,10,101,29,84,121
2,170,10,36,29,84,121
18,170,10,107,29,84,121
22,170,1,102,13,84,121
8,170,1,57,13,84,121
18,170,9,104,36,62,138
16,170,9,42,36,62,138
12,170,10,112,29,84,121
19,170,10,42,29,84,121
0,170,10,70,45,84,121
1,170,10,114,45,84,121
4,170,10,98,42,84,121
4,170,10,102,42,84,121
0,170,10,53,18,46,58
0,170,10,53,18,46,58
17,170,10,113,42,84,121
7,170,10,30,42,84,121
14,170,10,102,18,78,153
17,170,10,102,18,78,153
18,170,10,102,20,84,121
3,170,10,103,20,84,121
18,170,10,23,42,84,121
3,170,10,25,42,84,121
20,170,1,73,2,84,121
17,170,1,89,2,84,121
11,170,10,65,42,84,121
23,170,10,102,42,84,121
19,41,15,11,62,7,138
11,41,15,102,62,7,138
19,170,10,23,53,84,121
15,170,10,5,53,84,121
2,170,10,103,53,84,121
16,170,10,23,53,84,121
11,170,10,0,20,84,121
11,170,10,42,20,84,121
11,170,3,59,57,84,121
2,170,3,37,57,84,121
23,32,15,25,62,48,12
11,32,15,66,62,48,12
7,170,9,114,36,48,17
13,170,9,77,36,48,17
17,170,4,71,19,84,121
9,170,4,23,19,84,121
4,170,10,89,42,84,121
1,170,10,58,42,84,121
20,170,10,116,18,23,152
4,170,10,77,18,23,152
0,170,10,38,19,84,121
17,170,10,92,19,84,121
20,170,10,102,53,84,121
18,170,10,102,53,84,121
11,170,10,66,53,84,121
18,170,10,64,53,84,121
20,170,1,30,15,84,121
20,170,1,1,15,84,121
7,170,10,42,5,84,121
17,170,10,66,5,84,121
17,170,0,23,62,65,72
17,170,0,102,62,65,72
7,170,10,51,34,84,121
7,170,10,42,34,84,121
22,170,10,71,18,122,29
11,170,10,96,18,122,29
7,170,1,102,4,84,121
7,170,1,51,4,84,121
14,170,10,42,57,130,138
23,170,10,17,57,130,138
17,170,1,102,9,84,121
17,170,1,6,9,84,121
22,170,10,5,29,84,121
22,170,10,76,29,84,121
7,170,10,97,63,84,121
3,170,10,95,63,84,121
13,170,10,38,18,1,64
23,170,10,38,18,1,64
4,170,10,82,31,84,121
4,170,10,84,31,84,121
0,170,15,42,57,21,88
8,170,15,22,57,21,88
20,170,10,49,42,84,121
17,170,10,102,42,84,121
23,170,10,82,29,84,121
23,170,10,102,29,84,121
14,170,10,82,18,132,57
14,170,10,82,18,132,57
17,170,10,107,42,84,121
17,170,10,102,42,84,121
0,170,13,81,12,84,121
0,170,13,98,12,84,121
20,170,10,34,61,84,121
15,170,10,20,61,84,121
2,170,10,21,34,84,121
2,170,10,75,34,84,121
11,170,1,114,42,84,121
11,170,1,2,42,84,121
11,170,10,44,42,84,121
11,170,10,44,42,84,121
2,186,7,102,62,48,95
16,186,7,27,62,48,95
11,170,9,113,57,34,49
17,170,9,102,57,34,49
20,170,10,23,35,84,121
16,170,10,54,35,84,121
21,170,10,8,42,84,121
11,170,10,102,42,84,121
18,170,1,107,42,84,121
20,170,1,8,42,84,121
3,170,10,2,20,84,121
2,170,10,61,20,84,121
12,170,10,107,61,84,121
14,170,10,103,61,84,121
16,170,1,89,52,84,121
16,170,1,20,52,84,121
20,170,3,115,54,84,121
18,170,3,102,54,84,121
20,170,1,102,15,84,121
7,170,1,38,15,84,121
18,170,10,18,42,84,121
3,170,10,38,42,84,121
3,170,1,12,54,84,121
18,170,1,116,54,84,121
19,170,1,95,36,84,121
9,170,1,102,36,84,121
17,170,10,23,42,84,121
14,170,10,59,42,84,121
7,170,10,67,28,84,121
3,170,10,102,28,84,121
4,170,10,105,16,84,121
4,170,10,70,16,84,121
11,170,1,102,8,84,121
16,170,1,67,8,84,121
11,170,3,102,57,84,121
16,170,3,102,57,84,121
16,170,10,25,21,84,121
16,170,10,15,21,84,121
0,170,10,15,53,84,121
4,170,10,92,53,84,121
16,170,1,70,38,84,121
17,170,1,23,38,84,121
11,170,10,42,24,84,121
3,170,10,66,24,84,121
3,170,10,78,24,84,121
18,170,10,19,24,84,121
2,170,4,103,25,84,121
4,170,4,42,25,84,121
15,170,1,76,34,84,121
3,170,1,3,34,84,121
1,170,10,30,5,84,121
15,170,10,46,5,84,121
3,170,10,35,25,84,121
3,170,10,92,25,84,121
20,170,1,116,54,84,121
20,170,1,12,54,84,121
13,170,10,117,29,84,121
13,170,10,84,29,84,121
20,170,10,110,21,84,121
7,170,10,102,21,84,121
2,170,10,12,29,84,121
2,170,10,12,29,84,121
23,170,10,102,58,84,121
23,170,10,67,58,84,121
12,170,10,89,29,84,121
12,170,10,102,29,84,121
18,170,1,102,32,84,121
20,170,1,67,32,84,121
7,170,3,102,30,84,121
7,170,3,50,30,84,121
17,170,10,78,34,84,121
7,170,10,28,34,84,121
10,170,10,102,42,84,121
10,170,10,67,42,84,121
2,170,10,5,5,84,121
3,170,10,23,5,84,121
7,170,3,3,5,84,121
7,170,3,45,5,84,121
9,170,10,25,47,84,121
9,170,10,42,47,84,121
21,170,10,42,53,84,121
11,170,10,42,53,84,121
3,170,10,78,18,122,117
3,170,10,118,18,122,117
20,170,1,39,19,84,121
20,170,1,93,19,84,121
0,170,10,9,5,84,121
11,170,10,95,5,84,121
2,170,4,102,19,84,121
11,170,4,97,19,84,121
11,170,10,67,60,84,121
11,170,10,102,60,84,121
7,170,10,96,5,84,121
3,170,10,92,5,84,121
11,262,7,89,42,114,52
16,262,7,91,42,114,52
17,170,10,39,25,84,121
3,170,10,23,25,84,121
18,170,10,96,42,84,121
18,170,10,102,42,84,121
0,170,10,98,29,84,121
0,170,10,61,29,84,121
8,170,1,32,52,84,121
11,170,1,114,52,84,121
23,170,1,59,52,84,121
23,170,1,107,52,84,121
18,170,10,59,49,84,121
18,170,10,53,49,84,121
11,170,1,105,51,84,121
3,170,1,107,51,84,121
17,170,4,77,53,84,121
23,170,4,48,53,84,121
0,182,7,53,27,95,65
0,182,7,42,27,95,65
1,170,10,22,61,84,121
11,170,10,102,61,84,121
23,170,10,23,19,84,121
17,170,10,39,19,84,121
18,170,10,96,18,78,153
23,170,10,66,18,78,153
21,170,10,78,42,84,121
0,170,10,17,42,84,121
12,170,10,96,60,84,121
12,170,10,55,60,84,121
1,170,10,23,25,84,121
1,170,10,34,25,84,121
11,170,10,104,34,84,121
11,170,10,48,34,84,121
10,170,9,29,57,95,149
10,170,9,102,57,95,149
0,170,10,78,1,84,121
0,170,10,7,1,84,121
7,170,10,76,42,84,121
3,170,10,102,42,84,121
15,170,7,76,36,48,102
11,170,7,48,36,48,102
3,170,10,96,42,84,121
17,170,10,23,42,84,121
7,170,10,102,42,84,121
20,170,10,102,42,84,121
7,170,10,113,42,84,121
18,170,10,102,42,84,121
18,133,7,5,43,36,42
16,133,7,5,43,36,42
11,170,10,44,18,78,153
14,170,10,44,18,78,153
13,170,10,79,25,84,121
13,170,10,102,25,84,121
18,198,10,23,62,90,72
8,198,10,40,62,90,72
20,170,3,71,57,84,121
20,170,3,102,57,84,121
16,170,10,67,33,84,121
2,170,10,30,33,84,121
7,170,10,102,42,84,121
7,170,10,82,42,84,121
23,170,10,102,18,41,3
13,170,10,102,18,41,3
1,170,10,102,42,84,121
23,170,10,5,42,84,121
0,170,10,92,59,84,121
0,170,10,39,59,84,121
